level,code,name,harmonization_note
3,040504,Vehicle & appliance maintenance/repair assistance for nonhh adults,
3,040505,Financial management assistance for nonhh adults,
3,040506,Household management & paperwork assistance for nonhh adults,
3,040507,Picking up/dropping off nonhh adult,
3,040508,Waiting associated with helping nonhh adults,
3,040599,"Helping nonhh adults, n.e.c.*",
3,049999,"Caring for & helping nonhh members, n.e.c.*",
3,050101,"Work, main job",
3,050102,"Work, other job(s)",
3,050103,Security procedures related to work,
3,050189,"Working, n.e.c.*",Includes 050104 (2004 and later years); 050199 (all years)
3,050201,"Socializing, relaxing, and leisure as part of job",
3,050202,Eating and drinking as part of job,
3,050203,Sports and exercise as part of job,
3,050204,Security procedures as part of job,
3,050289,"Work-related activities, n.e.c.*",Includes 050205 (2004 and later years); 050299 (all years)
3,050301,"Income-generating hobbies, crafts, and food",
3,050302,Income-generating performances,
3,050303,Income-generating services,
3,050304,Income-generating rental property activities,
3,050389,"Other income-generating activities, n.e.c.*",Includes 050305 (2004 and later years); 050399 (All years)
3,050403,Job interviewing,
3,050404,Waiting associated with job search or interview,
3,050405,Security procedures rel. to job search/interviewing,
3,050481,Job search activities,Includes 050401 (All years); 050402 (2003-2004)
3,050499,"Job search and Interviewing, n.e.c.*",
3,059999,"Work and work-related activities, n.e.c.*",
3,060101,"Taking class for degree, certification, or licensure",
3,060102,Taking class for personal interest,
3,060103,Waiting associated with taking classes,
3,060104,Security procedures rel. to taking classes,
3,060199,"Taking class, n.e.c.*",
3,060201,Extracurricular club activities,
3,060202,Extracurricular music & performance activities,
3,060203,Extracurricular student government activities,
3,060289,"Education-related extracurricular activities, n.e.c.*",Includes 060204 (2004 and later years); 060299 (all years)
3,060301,"Research/homework for class for degree, certification, or licensure",
3,060302,Research/homework for class for pers. interest,
3,060303,Waiting associated with research/homework,
3,060399,Research/homework n.e.c.*,
3,060401,"Administrative activities: class for degree, certification, or licensure",
3,060402,Administrative activities: class for personal interest,
3,060403,Waiting associated w/admin. activities (education),
3,060499,"Administrative for education, n.e.c.*",
3,069999,"Education, n.e.c.*",
3,070101,Grocery shopping,
3,070102,Purchasing gas,
3,070103,Purchasing food (not groceries),
3,070104,"Shopping, except groceries, food and gas",
3,070105,Waiting associated with shopping,
3,070199,"Shopping, n.e.c.*",
3,070201,Comparison shopping,
3,070299,"Researching purchases, n.e.c.*",
3,070301,Security procedures rel. to consumer purchases,
3,070399,"Security procedures rel. to consumer purchases, n.e.c.*",
3,079999,"Consumer purchases, n.e.c.*",
3,080101,Using paid childcare services,
3,080102,Waiting associated w/purchasing childcare svcs,
3,080199,"Using paid childcare services, n.e.c.*",
3,080201,Banking,
3,080202,Using other financial services,
3,080203,Waiting associated w/banking/financial services,
3,080299,"Using financial services and banking, n.e.c.*",
3,080301,Using legal services,
3,080302,Waiting associated with legal services,
3,080399,"Using legal services, n.e.c.*",
3,080401,Using health and care services outside the home,
3,080402,Using in-home health and care services,
3,080403,Waiting associated with medical services,
3,080499,"Using medical services, n.e.c.*",
3,080501,Using personal care services,
3,080502,Waiting associated w/personal care services,
3,080599,"Using personal care services, n.e.c.*",
3,080601,Activities rel. to purchasing/selling real estate,
3,080602,Waiting associated w/purchasing/selling real estate,
3,080699,"Using real estate services, n.e.c.*",
3,080701,Using veterinary services,
3,080702,Waiting associated with veterinary services,
3,080799,"Using veterinary services, n.e.c.*",
3,080801,Security procedures rel. to professional/personal svcs.,
3,080899,Security procedures rel. to professional/personal svcs n.e.c.*,
3,089999,"Professional and personal services, n.e.c.*",
3,090101,Using interior cleaning services,
3,090102,Using meal preparation services,
3,090103,Using clothing repair and cleaning services,
3,090104,Waiting associated with using household services,
3,090199,"Using household services, n.e.c.*",
3,090201,Using home maint/repair/décor/construction svcs,
3,090202,Waiting associated w/ home main/repair/décor/constr,
3,090299,"Using home maint/repair/décor/constr services, n.e.c.*",
3,090301,Using pet services,
3,090302,Waiting associated with pet services,
3,090399,"Using pet services, n.e.c.*",
3,090401,Using lawn and garden services,
3,090402,Waiting associated with using lawn & garden services,
3,090499,"Using lawn and garden services, n.e.c.*",
3,090501,Using vehicle maintenance or repair services,
3,090502,Waiting associated with vehicle main. or repair svcs,
3,090599,"Using vehicle maint. & repair svcs, n.e.c.*",
3,099999,"Using household services, n.e.c.*",
3,100101,Using police and fire services,
3,100102,Using social services,
3,100103,"Obtaining licenses & paying fines, fees, taxes",
3,100199,"Using government services, n.e.c.*",
3,100201,Civic obligations & participation,
3,100299,"Civic obligations & participation, n.e.c.*",
3,100381,Waiting associated with using government services,"Includes 100301 (2003-2007), 100302 (2003-2007), 100304 (2008 and later years)."
3,100383,Waiting associated w/civic obligations & participation,"Includes 100303 (2003-2007), 100305 (2008 and later years)"
3,100399,"Waiting assoc. w/govt svcs or civic obligations, n.e.c.*",
3,100401,Security procedures rel. to govt svcs/civic obligations,
3,100499,"Security procedures rel. to govt svcs/civic obligations, n.e.c.*",
3,109999,"Government services, n.e.c.*",
3,110101,Eating and drinking,
3,110199,"Eating and drinking, n.e.c.*",
3,110281,Waiting associated w/eating & drinking,"Includes 110201 (All years); 110202, 110203 (2003)"
3,110289,"Waiting associated with eating & drinking, n.e.c.*",Includes 110204 (2003); 110299 (All years)
3,119999,"Eating and drinking, n.e.c.*",
3,120101,Socializing and communicating with others,
3,120199,"Socializing and communicating, n.e.c.*",
3,120201,Attending or hosting parties/receptions/ceremonies,
3,120202,Attending meetings for personal interest (not volunteering),
3,120299,"Attending/hosting social events, n.e.c.*",
3,120301,"Relaxing, thinking",
3,120302,Tobacco and drug use,
3,120303,Television and movies (not religious),
3,120304,Television (religious),
3,120305,Listening to the radio,
3,120306,Listening to/playing music (not radio),
3,120307,Playing games,
3,120308,Computer use for leisure (exc. Games),
3,120309,Arts and crafts as a hobby,
3,120310,Collecting as a hobby,
3,120311,"Hobbies, except arts & crafts and collecting",
3,120312,Reading for personal interest,
3,120313,Writing for personal interest,
3,120399,"Relaxing and leisure, n.e.c.*",
3,120401,Attending performing arts,
3,120402,Attending museums,
3,120403,Attending movies/film,
3,120404,Attending gambling establishments,
3,120405,Security procedures rel. to arts & entertainment,
3,120499,"Arts and entertainment, n.e.c.*",
3,120501,Waiting assoc. w/socializing & communicating,
3,120502,Waiting assoc. w/attending/hosting social events,
3,120503,Waiting associated with relaxing/leisure,
3,120504,Waiting associated with arts & entertainment,
3,120599,"Waiting associated with socializing, n.e.c.*",
3,129999,"Socializing, relaxing, and leisure, n.e.c.*",
3,130101,Doing aerobics,
3,130102,Playing baseball,
3,130103,Playing basketball,
3,130104,Biking,
3,130105,Playing billiards,
3,130106,Boating,
3,130107,Bowling,
3,130108,"Climbing, spelunking, caving",
3,130109,Dancing,
3,130110,Participating in equestrian sports,
3,130111,Fencing,
3,130112,Fishing,
3,130113,Playing football,
3,130114,Golfing,
3,130115,Doing gymnastics,
3,130116,Hiking,
3,130117,Playing hockey,
3,130118,Hunting,
3,130119,Participating in martial arts,
3,130120,Playing racquet sports,
3,130121,Participating in rodeo competitions,"The activity category ""Rollerblading"" (2003-2023) was renamed to ""Roller skating, inline"
3,130122,"Roller skating, inline skating, skateboarding","skating, skateboarding"" in 2024."
3,130123,Playing rugby,
3,130124,Running,
3,130125,"Skiing, ice skating, snowboarding",
3,130126,Playing soccer,
3,130127,Softball,
3,130128,Using cardiovascular equipment,
3,130129,Vehicle touring/racing,
3,130130,Playing volleyball,
3,130131,Walking,
3,130132,Participating in water sports,
3,130133,Weightlifting/strength training,
3,130134,"Working out, unspecified",
3,130135,Wrestling,
3,130136,Doing yoga,
3,130199,Playing sports n.e.c.*,
3,130201,Watching aerobics,
3,130202,Watching baseball,
3,130203,Watching basketball,
3,130204,Watching biking,
3,130205,Watching billiards,
3,130206,Watching boating,
3,130207,Watching bowling,
3,130208,"Watching climbing, spelunking, caving",
3,130209,Watching dancing,
3,130210,Watching equestrian sports,
3,130211,Watching fencing,
3,130212,Watching fishing,
3,130213,Watching football,
3,130214,Watching golfing,
3,130215,Watching gymnastics,
3,130216,Watching hockey,
3,130217,Watching martial arts,
3,130218,Watching racquet sports,
3,130219,Watching rodeo competitions,"The activity category ""Watching rollerblading"" (2003-2023) was renamed to ""Watching roller"
3,130220,"Watching roller skating, inline skating, skateboarding","skating, inline skating, skateboarding"" in 2024."
3,130221,Watching rugby,
3,130222,Watching running,
3,130223,"Watching skiing, ice skating, snowboarding",
3,130224,Watching soccer,
3,130225,Watching softball,
3,130226,Watching vehicle touring/racing,
3,130227,Watching volleyball,
3,130228,Watching walking,
3,130229,Watching water sports,
3,130230,Watching weightlifting/strength training,
3,130231,"Watching people working out, unspecified",
3,130232,Watching wrestling,
3,130299,"Attending sporting events, n.e.c.*",
3,130301,Waiting related to playing sports or exercising,
3,130302,Waiting related to attending sporting events,
3,130399,"Waiting associated with sports, exercise, & recreation, n.e.c.*",
3,130401,Security related to playing sports or exercising,
3,130402,Security related to attending sporting events,
3,130499,"Security related to sports, exercise, & recreation, n.e.c.*",
3,139999,"Sports, exercise, & recreation, n.e.c.*",
3,140101,Attending religious services,
3,140102,Participation in religious practices,
3,140103,Waiting associated w/religious & spiritual activities,
3,140104,Security procedures rel. to religious & spiritual activities,"The activity category ""Religious education activities"" (140105) was added to the lexicon in 2007. Examples previously classified as ""Taking class for personal interest"" (060102) were moved to 140105. This re-classification had a small impact on the ATUS estimates for these"
3,140105,Religious education activities,categories.
3,149999,"Religious and spiritual activities, n.e.c.*",
3,150101,Computer use,
3,150102,Organizing and preparing,
3,150103,Reading,
3,150104,Telephone calls (except hotline counseling),
3,150105,Writing,
3,150106,Fundraising,
3,150199,"Administrative & support activities, n.e.c.*",
3,150201,"Food preparation, presentation, clean-up",
3,150202,Collecting & delivering clothing & other goods,
3,150203,Providing care,
3,150204,"Teaching, leading, counseling, mentoring",
3,150299,"Social service & care activities, n.e.c.*",
3,150301,"Building houses, wildlife sites, & other structures",
3,150302,"Indoor & outdoor maintenance, repair, & clean-up",
3,150399,"Indoor & outdoor maintenance, building & clean-up activities, n.e.c.*",
3,150401,Performing,
3,150402,Serving at volunteer events & cultural activities,
3,150499,"Participating in performance & cultural activities, n.e.c.*",
3,150501,"Attending meetings, conferences, & training",
3,150599,"Attending meetings, conferences, & training, n.e.c.*",
3,150601,Public health activities,
3,150602,Public safety activities,
3,150699,"Public health & safety activities, n.e.c.*",Includes Waiting Associated with Volunteer Activities; Security Procedures Associated with Volunteer Activities;
3,159989,"Volunteer activities, n.e.c.*","150801, 150899 (2007 and later years); 159999 (All years)"
3,160101,Telephone calls to/from family members,
3,160102,"Telephone calls to/from friends, neighbors, or acquaintances",
3,160103,Telephone calls to/from education services providers,
3,160104,Telephone calls to/from salespeople,
3,160105,Telephone calls to/from professional or personal care svcs providers,
3,160106,Telephone calls to/from household services providers,
3,160107,Telephone calls to/from paid child or adult care providers,
3,160108,Telephone calls to/from government officials,"Includes Waiting Associated with telephone calls; Telephone calls (to or from), n.e.c.*;"
3,169989,"Telephone calls, n.e.c.*","Includes 160199, 160201, 160299 (2004 and later years); 169999 (All years)"
3,180101,Travel related to personal care,"includes 170101 (2003-2004), 180101 (2005 and later years)"
3,180199,"Travel related to personal care, n.e.c.*","includes 170199 (2003-2004), 180199 (2005 and later years)"
3,180280,Travel related to household activities,and later years)
3,180381,Travel related to caring for and helping hh children,"Includes 170301 (2003, 2004); 180301, 180302, 180303 (2005 and later years)"
3,180382,Travel related to caring for and helping hh adults,"Includes 170302 (2003, 2004); 180304, 180305 (2005 and later years)"
3,180399,"Travel rel. to caring for & helping hh members, n.e.c.*",Includes 170399 (2003-2004); 180399 (2005 and later years)
3,180481,Travel related to caring for and helping nonhh children,"Includes 170401 (2003-2004); 180401, 180402, 180403 (2005 and later years)"
3,180482,Travel related to caring for and helping nonhh adults,"Includes 170402 (2003-2004); 180404, 180405 (2005 and later years)"
3,180499,"Travel rel. to caring for & helping nonhh members, n.e.c.*",includes 170499 (2003-2004); 180499 (2005 and later years)
3,180501,Travel related to working,includes 170501 (2003-2004); 180501 (2005 and later years)
3,180502,Travel related to work-related activities,"includes 170502 (2003-2004); 180502 (2005 and later years) Includes 170503, 170504 (2004); 170599 (2003-2004);"
3,180589,"Travel related to work, n.e.c.*","180503, 180504, 180599 (2005 and later years)"
3,180601,Travel related to taking class,includes 170601 (2003-2004); 180601 (2005 and later years)
3,180682,Travel related to education (except taking class),"Includes 170602 (2003, 2004); 180602, 180603, 180604 (2005 and later years)"
3,180699,"Travel related to education, n.e.c.*",includes 170699 (2003-2004); 180699 (2005 and later years)
3,180701,Travel related to grocery shopping,"includes 170701 (2003-2004); 180701 (2005 and later years) Includes 170702, 170799 (2003-2004); 170703 (2004);"
3,180782,Travel related to shopping (except grocery shopping),"180702, 180703, 180704, 180799 (2005 and later years)"
3,180801,Travel related to using childcare services,includes 170801 (2003-2004); 180801 (2005 and later years)
3,180802,Travel related to using financial services and banking,includes 170802 (2003-2004); 180802 (2005 and later years)
3,180803,Travel related to using legal services,includes 170803 (2003-2004); 180803 (2005 and later years)
3,180804,Travel related to using medical services,includes 170804 (2003-2004); 180804 (2005 and later years)
3,180805,Travel related to using personal care services,includes 170805 (2003-2004); 180805 (2005 and later years)
3,180806,Travel related to using real estate services,includes 170806 (2003-2004); 180806 (2005 and later years)
3,180807,Travel related to using veterinary services,includes 170807 (2003-2004); 180807 (2005 and later years)
3,180899,"Travel rel. to using prof. & personal care services, n.e.c.*",includes 170899 (2003-2004); 180899 (2005 and later years)
3,180901,Travel related to using household services,includes 170901 (2003-2004); 180901 (2005 and later years)
3,180902,Travel related to using home main./repair/décor./construction svcs,includes 170902 (2003-2004); 180902 (2005 and later years)
3,180903,Travel related to using pet services (not vet),includes 170903 (2003-2004); 180903 (2005 and later years)
3,180904,Travel related to using lawn and garden services,includes 170904 (2003-2004); 180904 (2005 and later years)
3,180905,Travel related to using vehicle maintenance & repair services,includes 170905 (2003-2004); 180905 (2005 and later years)
3,180999,"Travel related to using household services, n.e.c.*",includes 170999 (2003-2004); 180999 (2005 and later years)
3,181002,Travel related to civic obligations & participation,includes 171004 (2003-2004); 181002 (2005 and later years)
3,181081,Travel related to using government services,"includes 171001, 171002, 171003 (2003-2004); 181001 (2005 and later years)"
3,181099,"Travel rel. to govt svcs & civic obligations, n.e.c.*",includes 171099 (2003-2004); 181099 (2005 and later years)
3,181101,Travel related to eating and drinking,includes 171101 (2003-2004); 181101 (2005 and later years)
3,181199,"Travel related to eating and drinking, n.e.c.*",includes 171199 (2003-2004); 181199 (2005 and later years)
3,181201,Travel related to socializing and communicating,includes 171201 (2003-2004); 181201 (2005 and later years)
3,181202,Travel related to attending or hosting social events,includes 171202 (2003-2004); 181202 (2005 and later years)
3,181204,Travel related to arts and entertainment,includes 171204 (2003-2004); 181204 (2005 and later years)
3,181283,Travel related to relaxing and leisure,"Includes 171203 (2003-2004); 181203, 181205 (2005 and later years)"
3,181299,"Travel rel. to socializing, relaxing, & leisure, n.e.c.*",includes 171299 (2003-2004); 181299 (2005 and later years)
3,181301,Travel related to participating in sports/exercise/recreation,includes 171301 (2003-2004); 181301 (2005 and later years)
3,181302,Travel related to attending sporting/recreational events,includes 171302 (2003-2004); 181302 (2005 and later years)
3,181399,"Travel related to sports, exercise, & recreation, n.e.c.*",includes 171399 (2003-2004); 181399 (2005 and later years)
3,181401,Travel related to religious/spiritual practices,includes 171401 (2003-2004); 181401 (2005 and later years)
3,181499,"Travel rel. to religious/spiritual activities, n.e.c.*",includes 171499 (2003-2004); 181499 (2005 and later years)
3,181501,Travel related to volunteering,includes 171501 (2003-2004); 181501 (2005 and later years)
3,181599,"Travel related to volunteer activities, n.e.c.*",includes 171599 (2003-2004); 181599 (2005 and later years)
3,181601,Travel related to phone calls,includes 171601 (2003-2004); 181601 (2005 and later years)
3,181699,"Travel rel. to phone calls, n.e.c.*",includes 171699 (2003-2004); 181699 (2005 and later years)
3,181801,Security procedures related to traveling,includes 171701 (2003-2004); 181801 (2005 and later years)
3,181899,"Security procedures related to traveling, n.e.c.*",includes 171799 (2003-2004); 181899 (2005 and later years)
3,189999,"Traveling, n.e.c.*",includes 179999 (2003-2004); 189999 (2005 and later years)
3,500101,Insufficient detail in verbatim,
3,500103,Missing travel or destination,
3,500104,Recorded simultaneous activities incorrectly,code was used in 2003-2012 only
3,500105,"Respondent refused to provide information/""none of your business""",
3,500106,Gap/can't remember,
3,500107,Unable to code activity at 1st tier,
3,509989,"Data codes, n.e.c.* * Not elsewhere classified",includes 500102 (2003); 509999 (All years)
